Deal Name,Deal Stage,Amount,Close Date
Thompson-Thomas Deal,Decision Maker Bought-In,77631.74,2024-11-19
Collins Group Deal,Closed Won,79028.44,2024-09-08
Drake-Ruiz Deal,Appointment Scheduled,33356.83,2024-09-15
Bates-Burke Deal,Presentation Scheduled,46325.48,2024-11-19
"Peterson, Carter and Clayton Deal",Decision Maker Bought-In,37670.43,2024-11-14
Ortiz-Taylor Deal,Appointment Scheduled,55049.72,2024-08-04
Johnson Ltd Deal,Appointment Scheduled,3067.61,2024-09-01
Kim and Sons Deal,Decision Maker Bought-In,69202.75,2024-08-27
Richardson Ltd Deal,Closed Won,36595.75,2024-12-20
"Torres, Williams and Kim Deal",Contract Sent,23893.09,2024-10-02
Stephenson PLC Deal,Decision Maker Bought-In,5425.75,2024-07-30
Robertson-Payne Deal,Presentation Scheduled,21935.98,2024-08-09
"Bishop, Diaz and Jackson Deal",Presentation Scheduled,54874.95,2024-09-28
"Rivera, Travis and Ramos Deal",Closed Won,45737.88,2024-10-19
Boyer Ltd Deal,Presentation Scheduled,65160.98,2024-08-05
Fox-Collins Deal,Contract Sent,98128.61,2024-10-19
Clark-Stephens Deal,Closed Won,68252.43,2024-12-23
"Strickland, Acevedo and Gutierrez Deal",Contract Sent,85386.67,2024-08-13
Kelley-Schmidt Deal,Appointment Scheduled,73783.96,2024-12-15
Flores-Cantu Deal,Qualified to Buy,30895.45,2024-10-21
Booth and Sons Deal,Closed Won,85243.79,2024-12-23
Carter LLC Deal,Contract Sent,76545.91,2024-12-20
Spence-Terry Deal,Decision Maker Bought-In,42889.53,2024-11-08
Smith Ltd Deal,Qualified to Buy,64864.04,2024-11-26
"Lang, Watson and Burton Deal",Appointment Scheduled,41331.18,2024-08-12
Ochoa and Sons Deal,Closed Won,81671.33,2024-12-19
Mendoza-Flores Deal,Presentation Scheduled,57504.03,2024-11-17
Howell Group Deal,Decision Maker Bought-In,12652.27,2024-08-12
Rocha-Rivera Deal,Contract Sent,44200.86,2024-10-19
"Hicks, Landry and Jones Deal",Presentation Scheduled,35004.18,2024-08-11
"Moore, Jacobs and Green Deal",Qualified to Buy,3268.29,2024-11-20
Pierce-Wolf Deal,Closed Won,9792.82,2024-07-18
"Santana, Harrington and Richardson Deal",Presentation Scheduled,46184.77,2024-09-08
"King, Wise and Booker Deal",Qualified to Buy,79574.13,2024-08-20
Brown Group Deal,Presentation Scheduled,18288.94,2024-07-11
"Willis, Novak and Dennis Deal",Decision Maker Bought-In,67802.28,2024-11-19
"Alexander, Brooks and Andrews Deal",Qualified to Buy,33178.98,2024-07-19
Taylor PLC Deal,Closed Won,70800.51,2024-07-29
Oliver-Arnold Deal,Decision Maker Bought-In,34617.03,2024-07-04
Garrison-Owen Deal,Presentation Scheduled,5805.6,2024-08-31
"Small, Mendoza and Ramirez Deal",Presentation Scheduled,81732.55,2024-11-09
Dixon LLC Deal,Presentation Scheduled,55803.7,2024-12-21
Smith PLC Deal,Decision Maker Bought-In,13474.9,2024-10-09
Winters Inc Deal,Presentation Scheduled,55070.14,2024-08-08
Gray Group Deal,Decision Maker Bought-In,50081.07,2024-10-18
"Cruz, Lewis and Jackson Deal",Decision Maker Bought-In,1030.78,2024-07-06
"West, Stewart and Johnson Deal",Appointment Scheduled,69724.23,2024-11-16
"Campos, Mendoza and Kennedy Deal",Contract Sent,11266.71,2024-09-12
"Roberts, Maynard and Mccarthy Deal",Qualified to Buy,85575.96,2024-10-01
Barrett LLC Deal,Appointment Scheduled,28870.78,2024-11-28
"Reynolds, Kelley and Bell Deal",Qualified to Buy,78373.2,2024-11-18
Parks-Shepherd Deal,Decision Maker Bought-In,7262.86,2024-12-10
Williams Inc Deal,Decision Maker Bought-In,81098.21,2024-11-27
"Davis, Pacheco and Williams Deal",Closed Won,68908.23,2024-08-03
Bryant-Ball Deal,Appointment Scheduled,22879.68,2024-12-10
Williams-Brennan Deal,Contract Sent,81697.27,2024-09-05
"Maldonado, Tate and King Deal",Appointment Scheduled,89507.98,2024-10-05
Daniel-West Deal,Closed Won,57763.21,2024-12-13
Clark-Diaz Deal,Appointment Scheduled,37074.85,2024-10-20
Rodriguez-Paul Deal,Presentation Scheduled,67768.55,2024-11-21
"Kim, Medina and Robinson Deal",Appointment Scheduled,48331.45,2024-09-08
"Mccarthy, Schmitt and Steele Deal",Presentation Scheduled,52922.45,2024-11-14
Davis LLC Deal,Appointment Scheduled,17758.06,2024-08-14
Hernandez LLC Deal,Contract Sent,51559.34,2024-08-13
Phillips-Carey Deal,Contract Sent,63190.29,2024-06-30
Banks LLC Deal,Qualified to Buy,35036.04,2024-12-21
Morales Inc Deal,Decision Maker Bought-In,31144.64,2024-08-16
"Powers, Chapman and Duarte Deal",Closed Won,39588.03,2024-09-15
"Marshall, Thomas and Duran Deal",Qualified to Buy,29883.3,2024-11-28
"Young, Jones and Duncan Deal",Presentation Scheduled,54450.24,2024-09-02
Stafford and Sons Deal,Decision Maker Bought-In,90483.38,2024-09-17
"Robertson, Lewis and Moon Deal",Decision Maker Bought-In,9816.7,2024-09-14
Mckee-Chen Deal,Decision Maker Bought-In,6845.08,2024-12-01
Hess and Sons Deal,Presentation Scheduled,52796.88,2024-08-08
Cooley-Henry Deal,Closed Won,51234.53,2024-12-17
"Rodriguez, Garcia and Palmer Deal",Qualified to Buy,32448.19,2024-10-07
Pham LLC Deal,Closed Won,87453.06,2024-11-13
"Dickerson, Nguyen and Hughes Deal",Presentation Scheduled,37510.28,2024-09-08
Hull-Munoz Deal,Qualified to Buy,95610.23,2024-09-20
Flores and Sons Deal,Closed Won,35091.06,2024-09-24
"Adams, Dillon and Evans Deal",Decision Maker Bought-In,58025.31,2024-07-19
Powell-Richardson Deal,Presentation Scheduled,66378.08,2024-11-08
"Cohen, Moody and Stanley Deal",Decision Maker Bought-In,81213.49,2024-08-18
Russell-Carr Deal,Qualified to Buy,20619.49,2024-11-18
Riddle Ltd Deal,Decision Maker Bought-In,54981.73,2024-09-08
Castaneda-Kelly Deal,Contract Sent,86546.96,2024-12-22
Sanchez and Sons Deal,Closed Won,36227.64,2024-07-12
Jackson Group Deal,Contract Sent,17491.8,2024-08-25
"Perez, Jenkins and Webb Deal",Presentation Scheduled,19861.54,2024-08-04
"Sherman, Black and Peterson Deal",Qualified to Buy,7335.1,2024-11-25
Blankenship and Sons Deal,Appointment Scheduled,44730.08,2024-10-21
Villarreal Ltd Deal,Presentation Scheduled,33637.28,2024-09-03
Hart-Vaughn Deal,Qualified to Buy,87114.65,2024-07-04
Dyer-Wright Deal,Qualified to Buy,57740.38,2024-07-29
Roach-Alvarez Deal,Decision Maker Bought-In,5675.45,2024-07-28
Walsh-Shields Deal,Decision Maker Bought-In,55195.34,2024-10-02
Cabrera-Holder Deal,Contract Sent,42456.92,2024-09-10
Underwood-Miller Deal,Qualified to Buy,33289.32,2024-12-21
Turner-Perez Deal,Qualified to Buy,51846.55,2024-11-18
Lee-Harris Deal,Decision Maker Bought-In,72352.76,2024-08-04
Murphy-Sheppard Deal,Presentation Scheduled,35341.74,2024-12-17
Moore PLC Deal,Presentation Scheduled,23591.34,2024-10-14
Camacho-Lawrence Deal,Contract Sent,78164.64,2024-10-27
Long and Sons Deal,Closed Won,7656.43,2024-10-28
Monroe-Perez Deal,Qualified to Buy,3371.07,2024-12-09
"Bray, Yoder and Williamson Deal",Presentation Scheduled,75733.07,2024-09-07
"Brown, Collins and Moran Deal",Presentation Scheduled,39261.35,2024-09-03
Sellers-Harris Deal,Decision Maker Bought-In,1465.44,2024-12-24
"Edwards, Cameron and Mccormick Deal",Qualified to Buy,24837.05,2024-09-24
Lewis-Wagner Deal,Decision Maker Bought-In,3847.81,2024-09-15
Conley-Johnson Deal,Presentation Scheduled,55707.46,2024-11-05
Bond LLC Deal,Qualified to Buy,59609.69,2024-11-19
"Diaz, Rodriguez and Stephenson Deal",Closed Won,67558.98,2024-10-31
"Sandoval, Smith and Nelson Deal",Contract Sent,88859.81,2024-08-27
Adams LLC Deal,Contract Sent,29152.76,2024-07-29
"Diaz, Anderson and Smith Deal",Appointment Scheduled,43628.73,2024-12-20
Gonzalez Ltd Deal,Presentation Scheduled,94960.78,2024-11-28
"Cochran, Price and Webb Deal",Qualified to Buy,36070.51,2024-07-18
"Jackson, Robertson and Smith Deal",Contract Sent,4099.13,2024-09-09
"Hodge, Duncan and Newman Deal",Qualified to Buy,84119.74,2024-07-22
"Kim, Washington and Rodgers Deal",Appointment Scheduled,64530.82,2024-12-09
"Patel, Smith and Leblanc Deal",Decision Maker Bought-In,4683.2,2024-08-26
Huber-Peterson Deal,Presentation Scheduled,68034.98,2024-11-12
Wright PLC Deal,Appointment Scheduled,88339.67,2024-10-28
"Moore, Norris and Newton Deal",Qualified to Buy,65344.37,2024-10-30
Green Inc Deal,Closed Won,68322.23,2024-11-16
"Taylor, Jackson and Johnson Deal",Decision Maker Bought-In,74810.85,2024-11-06
Flores-Holmes Deal,Contract Sent,89294.79,2024-07-01
Miller PLC Deal,Decision Maker Bought-In,73368.72,2024-08-08
"Stewart, Wilson and Howe Deal",Closed Won,36907.53,2024-09-03
Willis-Meza Deal,Decision Maker Bought-In,52330.01,2024-11-08
Maxwell-Smith Deal,Contract Sent,63336.19,2024-10-30
Anderson-Byrd Deal,Qualified to Buy,52201.68,2024-12-05
"Kramer, Curtis and Cameron Deal",Closed Won,66861.27,2024-12-04
Hanson-Martinez Deal,Contract Sent,55215.62,2024-10-14
"Reyes, Martinez and Williams Deal",Qualified to Buy,55236.81,2024-09-10
"Daniel, Skinner and Norris Deal",Closed Won,59610.58,2024-07-11
Lewis-Taylor Deal,Qualified to Buy,6430.73,2024-09-30
Anderson-Novak Deal,Closed Won,24850.03,2024-09-19
Tran Group Deal,Decision Maker Bought-In,17983.58,2024-09-23
"Ortiz, Byrd and Martin Deal",Appointment Scheduled,56779.59,2024-07-07
Williams and Sons Deal,Closed Won,62417.62,2024-09-28
Mccarthy and Sons Deal,Presentation Scheduled,90820.83,2024-10-03
Mendez Inc Deal,Decision Maker Bought-In,40655.08,2024-11-06
"Moreno, Robinson and Spencer Deal",Appointment Scheduled,37903.45,2024-09-01
"Barr, Schultz and Howard Deal",Presentation Scheduled,60198.87,2024-07-29
Richards Ltd Deal,Decision Maker Bought-In,24553.54,2024-10-24
"Weaver, Burton and Pennington Deal",Closed Won,36447.27,2024-10-21
"Simpson, Powell and Carter Deal",Decision Maker Bought-In,86026.7,2024-09-19
Bullock-Hill Deal,Presentation Scheduled,20536.98,2024-08-20
"Johnson, Barron and Allen Deal",Decision Maker Bought-In,40644.82,2024-09-16
Payne-Hanson Deal,Decision Maker Bought-In,78985.6,2024-11-17
Chase Ltd Deal,Contract Sent,53932.08,2024-07-22
Keller-Jackson Deal,Appointment Scheduled,91425.25,2024-10-22
Parker and Sons Deal,Contract Sent,6389.92,2024-09-19
"Morton, Gonzalez and Ware Deal",Contract Sent,74196.64,2024-11-04
Randall-Estrada Deal,Contract Sent,29732.64,2024-07-31
Harris Inc Deal,Contract Sent,66151.27,2024-11-05
Henderson-Rhodes Deal,Closed Won,3060.52,2024-10-30
"Howard, Rodriguez and Dillon Deal",Qualified to Buy,71257.04,2024-10-29
Shepard-Pearson Deal,Qualified to Buy,79578.0,2024-10-20
Henderson Group Deal,Qualified to Buy,54787.31,2024-08-30
Stewart LLC Deal,Contract Sent,6793.28,2024-12-21
"Reese, Dorsey and Jackson Deal",Closed Won,62139.81,2024-07-02
Johnson Ltd Deal,Appointment Scheduled,11416.19,2024-08-20
Huang-Williams Deal,Qualified to Buy,33088.71,2024-08-29
Campbell PLC Deal,Closed Won,59298.0,2024-12-22
Huerta Ltd Deal,Contract Sent,68792.58,2024-08-22
Hall-Smith Deal,Contract Sent,96584.26,2024-08-30
Williams-Davis Deal,Decision Maker Bought-In,86118.66,2024-11-01
Andrade and Sons Deal,Contract Sent,98786.38,2024-10-27
Reynolds LLC Deal,Qualified to Buy,63280.22,2024-12-01
Allen-Lewis Deal,Presentation Scheduled,71160.06,2024-07-03
"Norman, Zavala and Miller Deal",Appointment Scheduled,44050.09,2024-08-13
Fischer LLC Deal,Decision Maker Bought-In,44296.62,2024-07-01
"Hill, Hudson and Landry Deal",Decision Maker Bought-In,99108.66,2024-08-09
"Tran, Thomas and Brown Deal",Appointment Scheduled,2318.58,2024-10-03
Rios and Sons Deal,Appointment Scheduled,28497.84,2024-09-01
Smith and Sons Deal,Closed Won,54636.74,2024-11-29
Villarreal-Barnes Deal,Qualified to Buy,96830.84,2024-08-10
Bailey LLC Deal,Decision Maker Bought-In,26229.98,2024-11-27
Fields-Hall Deal,Contract Sent,93667.94,2024-08-02
"Jones, Stephens and Valdez Deal",Qualified to Buy,10290.75,2024-07-11
"Strong, Roy and Thompson Deal",Contract Sent,9721.58,2024-07-14
Nguyen Inc Deal,Closed Won,54543.53,2024-08-17
Hudson Ltd Deal,Decision Maker Bought-In,23483.27,2024-12-10
"Green, Parker and Sanchez Deal",Closed Won,3013.0,2024-11-14
"Luna, Bryant and Sloan Deal",Closed Won,36494.17,2024-09-21
Reed Ltd Deal,Decision Maker Bought-In,32865.74,2024-12-14
"Murphy, Walton and Young Deal",Decision Maker Bought-In,89952.73,2024-09-21
"Sherman, Sloan and Walton Deal",Presentation Scheduled,49944.57,2024-08-03
Miller-French Deal,Closed Won,37190.98,2024-10-13
"Ellis, Coleman and Hopkins Deal",Closed Won,66847.37,2024-10-07
"Miller, Phillips and Jones Deal",Qualified to Buy,87898.7,2024-09-11
Goodwin-Giles Deal,Decision Maker Bought-In,56845.15,2024-10-27
"Hernandez, Reed and Johnson Deal",Qualified to Buy,31588.72,2024-10-05
"Fuller, Smith and Nelson Deal",Contract Sent,52043.7,2024-09-08
Russell-Morris Deal,Contract Sent,65469.58,2024-11-25
Lucero-Lindsey Deal,Decision Maker Bought-In,43874.5,2024-08-22
"Kidd, Dixon and Hudson Deal",Contract Sent,47137.29,2024-07-15
"Vaughn, Ruiz and Bird Deal",Decision Maker Bought-In,41991.6,2024-11-29
"Spencer, Weiss and Schmidt Deal",Decision Maker Bought-In,77124.79,2024-07-27
Watson-Harris Deal,Qualified to Buy,90809.57,2024-08-21
Hernandez LLC Deal,Closed Won,17993.84,2024-09-15
Miller-Fletcher Deal,Appointment Scheduled,58286.3,2024-10-30
Miles-Ramirez Deal,Presentation Scheduled,71456.75,2024-11-28
"Gutierrez, Walsh and Olson Deal",Qualified to Buy,75283.82,2024-10-22
Sutton Group Deal,Presentation Scheduled,40480.25,2024-08-15
Massey-Newman Deal,Qualified to Buy,21254.25,2024-10-25
Fields-Mcclain Deal,Qualified to Buy,65480.03,2024-09-14
"Kelley, Wood and Underwood Deal",Closed Won,7902.23,2024-10-28
"Clark, Good and Johnson Deal",Appointment Scheduled,9832.27,2024-10-11
Lynn Group Deal,Qualified to Buy,52774.59,2024-10-02
Pope-Wade Deal,Decision Maker Bought-In,23854.9,2024-10-13
"Wilson, Murphy and Weeks Deal",Qualified to Buy,88200.75,2024-12-15
Nguyen Inc Deal,Decision Maker Bought-In,9972.44,2024-09-03
Stevens-Scott Deal,Decision Maker Bought-In,93009.59,2024-08-25
Lopez-Compton Deal,Qualified to Buy,68482.68,2024-09-08
Lloyd Group Deal,Decision Maker Bought-In,97881.55,2024-07-17
Franklin Ltd Deal,Qualified to Buy,94793.52,2024-08-17
Torres and Sons Deal,Qualified to Buy,26545.97,2024-12-14
Anderson LLC Deal,Qualified to Buy,72292.47,2024-10-01
Hardin-Banks Deal,Presentation Scheduled,19058.45,2024-07-26
Rogers-Bennett Deal,Presentation Scheduled,7428.88,2024-12-23
Roman-Henry Deal,Decision Maker Bought-In,34928.72,2024-11-26
"Kelly, Daugherty and Carter Deal",Decision Maker Bought-In,15347.03,2024-07-22
Peck Group Deal,Decision Maker Bought-In,23974.78,2024-08-17
Smith and Sons Deal,Contract Sent,85811.33,2024-11-25
"Warren, Berger and Valdez Deal",Decision Maker Bought-In,68719.3,2024-12-04
Hubbard Inc Deal,Closed Won,24230.58,2024-07-31
Allen-Arnold Deal,Decision Maker Bought-In,29356.66,2024-12-06
"Wong, Sanchez and Davis Deal",Decision Maker Bought-In,46293.8,2024-06-29
Burgess PLC Deal,Contract Sent,91758.02,2024-09-18
Wright-Huynh Deal,Decision Maker Bought-In,82027.54,2024-11-23
"Walter, Gaines and Clayton Deal",Contract Sent,74349.73,2024-11-25
Clay-Wilkerson Deal,Appointment Scheduled,72253.22,2024-07-05
Howard-Martin Deal,Decision Maker Bought-In,19068.09,2024-11-24
"Weber, Jacobs and Nguyen Deal",Appointment Scheduled,16068.86,2024-11-05
Oconnor-Carter Deal,Decision Maker Bought-In,48358.76,2024-07-20
Davis-Hardy Deal,Contract Sent,76950.25,2024-08-05
Madden Ltd Deal,Qualified to Buy,93385.19,2024-08-13
"Stewart, Garrett and Carter Deal",Qualified to Buy,49000.02,2024-07-16
Barron Ltd Deal,Closed Won,72899.92,2024-06-28
Jacobson Group Deal,Contract Sent,88498.66,2024-08-19
"Steele, Thomas and Smith Deal",Presentation Scheduled,16178.55,2024-07-09
Simon-Moyer Deal,Closed Won,55651.76,2024-08-09
Lopez LLC Deal,Presentation Scheduled,68986.62,2024-07-28
Watson Inc Deal,Contract Sent,9801.48,2024-12-05
Jones-Barrett Deal,Qualified to Buy,29049.99,2024-11-20
Johnson Inc Deal,Contract Sent,89630.3,2024-09-13
Skinner and Sons Deal,Contract Sent,7055.9,2024-08-29
Welch Inc Deal,Decision Maker Bought-In,59137.73,2024-08-27
Fitzgerald-Ellis Deal,Contract Sent,11390.06,2024-11-06
"Rios, Gardner and Gonzalez Deal",Closed Won,60590.58,2024-11-06
"Hughes, Johnson and Johnson Deal",Qualified to Buy,24515.02,2024-12-24
Rose PLC Deal,Contract Sent,2089.62,2024-09-05
Miller-Horne Deal,Contract Sent,94703.23,2024-09-04
Hernandez-Cameron Deal,Contract Sent,49450.31,2024-08-22
Martinez LLC Deal,Appointment Scheduled,78758.95,2024-08-25
"Williams, Velez and Hall Deal",Presentation Scheduled,86168.61,2024-08-13
Green PLC Deal,Decision Maker Bought-In,27841.83,2024-11-12
Sanders-Goodman Deal,Qualified to Buy,50369.28,2024-12-13
"Sawyer, Hernandez and Adams Deal",Decision Maker Bought-In,18166.94,2024-11-24
Allen LLC Deal,Qualified to Buy,15212.49,2024-08-05
Wong and Sons Deal,Closed Won,53065.12,2024-09-02
"Barrera, Roberts and Christian Deal",Qualified to Buy,74918.54,2024-08-14
Wilson-Rojas Deal,Appointment Scheduled,76993.56,2024-09-14
Kramer-Hamilton Deal,Decision Maker Bought-In,8584.57,2024-08-11
Kennedy-Franco Deal,Decision Maker Bought-In,29941.65,2024-10-03
Hanna PLC Deal,Presentation Scheduled,43941.08,2024-08-19
Wiley-Owens Deal,Contract Sent,74572.04,2024-09-13
Diaz and Sons Deal,Closed Won,68673.83,2024-09-09
Hamilton PLC Deal,Qualified to Buy,57736.11,2024-11-11
Simmons and Sons Deal,Appointment Scheduled,70913.14,2024-11-18
Williams PLC Deal,Qualified to Buy,69699.05,2024-09-01
Stewart-Wise Deal,Qualified to Buy,5273.27,2024-09-10
"Gardner, Harris and Sharp Deal",Qualified to Buy,46694.49,2024-07-10
Vaughn-Boyer Deal,Appointment Scheduled,67797.45,2024-07-22
Mills-Manning Deal,Contract Sent,59171.1,2024-10-02
"Morgan, Moody and Hansen Deal",Appointment Scheduled,89669.42,2024-06-30
Powell and Sons Deal,Appointment Scheduled,23147.56,2024-09-06
"Luna, Peters and Davis Deal",Appointment Scheduled,52753.33,2024-11-28
Camacho PLC Deal,Presentation Scheduled,66970.06,2024-09-27
"Moore, James and Watkins Deal",Appointment Scheduled,56920.82,2024-11-16
Callahan Ltd Deal,Contract Sent,86523.16,2024-09-24
Oneill LLC Deal,Appointment Scheduled,69435.64,2024-09-30
Greene-Lawson Deal,Qualified to Buy,58847.95,2024-12-06
Greene-Davis Deal,Decision Maker Bought-In,68800.83,2024-09-15
Nelson-Kennedy Deal,Qualified to Buy,39562.8,2024-07-30
"Garcia, Gordon and Morse Deal",Contract Sent,58185.64,2024-09-08
"Cisneros, Dunlap and Gonzales Deal",Closed Won,26090.26,2024-12-22
Evans Ltd Deal,Decision Maker Bought-In,17547.21,2024-09-09
Cole-Brown Deal,Contract Sent,34911.24,2024-08-13
"Hahn, Wagner and Dennis Deal",Presentation Scheduled,85228.37,2024-09-20
"Jackson, Owen and Palmer Deal",Qualified to Buy,7801.34,2024-09-17
Ortiz-Woods Deal,Qualified to Buy,40285.74,2024-08-08
Fisher Inc Deal,Presentation Scheduled,7032.35,2024-12-12
Garcia PLC Deal,Contract Sent,47253.27,2024-11-24
Walker-Melendez Deal,Qualified to Buy,58550.62,2024-09-26
Roberts LLC Deal,Decision Maker Bought-In,21583.31,2024-10-01
